|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/action/deploy  |   virtualmachinetask (*b)   |   acceptedrequest (*b)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/config/rdpaccess  |    |   text/plaintext/plain  |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/config/bootstrap  |    |   bootstrap (*b)  extended (*b)  (*r)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)//tasks/(id)/action/cancel  |    |    |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)//tasks/(id)/action/cancel  |   text/xmltext/xml text/plaintext/plain  |    |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)//tasks/(id)  |    |   task (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachines (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachine (*b)  (*r)   |   virtualmachine (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachineswithnode (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachineswithnodeextended (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachine (*b)   |   virtualmachine (*b)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachineflat (*b)  (*r)   |   virtualmachineflat (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachinewithnode (*b)  (*r)   |   virtualmachine (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachinewithnode (*b)   |   virtualmachine (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachinewithnode (*b)  (*r)   |   virtualmachinewithnode (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachinewithnode (*b)  (*r)   |   virtualmachinewithnode (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachinewithnode (*b)   |   virtualmachinewithnode (*b)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |   virtualmachinewithnodeextended (*b)  (*r)   |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachines (*b)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachinesflat (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachineswithnode (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachineswithnode (*b)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachineswithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms  |    |   virtualmachineswithnodeextended (*b)   |
|  GET  |  /admin/ents/(ent)/limits/(limit)/externalnws/action/default  |    |   vlan (*b)  (*r)   |
|  PUT  |  /admin/ents/(ent)/limits/(limit)/externalnws/action/default  |    |    |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachine (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachine (*b)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachineflat (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachinewithnode (*b)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/vms/(vm)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
