|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachinewithnode (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachinewithnode (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachinewithnode (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachinewithnodeextended (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachinewithnodeextended (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachinewithnodeextended (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachinewithnodeextended (*b)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachine (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)//tasks/(id)/action/continue  |   text (*b) plain  |    |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)//tasks/(id)/action/continue  |    |    |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/action/restorebackup  |   restore (*b)  (*r)   |    |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/action/undeploy  |   virtualmachinetask (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/config/bootstrap  |    |   bootstrap (*b)  extended (*b)  (*r)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/state  |   virtualmachinestate (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/state  |    |   virtualmachinestate (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/disablemonitoring  |    |    |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)//tasks  |    |   tasks (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/action/protect  |   textplain  |    |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)//tasks/(id)/action/ack  |    |    |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/enablemonitoring  |    |    |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/action/deploy  |    |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/action/deploy  |   virtualmachinetask (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/action/deploy  |   virtualmachinetask (*b)   |   acceptedrequest (*b)   |
