Name	ServerURL	CloudURL	ServerID	CloudID
Release notes for Abiquo 6.0.3	https://abiquo.atlassian.net/wiki/spaces/doc/pages/339607553/Release+notes+for+Abiquo+6.0.3	https://abiquo.atlassian.net/wiki/spaces/doc/pages/339607553/Release+notes+for+Abiquo+6.0.3	339607553	339607553
Release notes for Abiquo 6.0.4	https://abiquo.atlassian.net/wiki/spaces/doc/pages/350257153/Release+notes+for+Abiquo+6.0.4	https://abiquo.atlassian.net/wiki/spaces/doc/pages/350257153/Release+notes+for+Abiquo+6.0.4	350257153	350257153
Release notes for Abiquo 6.0.5	https://abiquo.atlassian.net/wiki/spaces/doc/pages/354648065/Release+notes+for+Abiquo+6.0.5	https://abiquo.atlassian.net/wiki/spaces/doc/pages/354648065/Release+notes+for+Abiquo+6.0.5	354648065	354648065
Release notes for Abiquo 6.0.6	https://abiquo.atlassian.net/wiki/spaces/doc/pages/357433394/Release+notes+for+Abiquo+6.0.6	https://abiquo.atlassian.net/wiki/spaces/doc/pages/357433394/Release+notes+for+Abiquo+6.0.6	357433394	357433394
Release tenant resources in public cloud	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367084/Release+tenant+resources+in+public+cloud	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367084/Release+tenant+resources+in+public+cloud	311367084	311367084
Relocate a virtual machine to a compatible hypervisor	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373142/Relocate+a+virtual+machine+to+a+compatible+hypervisor	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373142/Relocate+a+virtual+machine+to+a+compatible+hypervisor	311373142	311373142
Remove NICs with hot reconfigure	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311366737/Remove+NICs+with+hot+reconfigure	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311366737/Remove+NICs+with+hot+reconfigure	311366737	311366737
Remove deprecated billing dashboard configuration	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371999/Remove+deprecated+billing+dashboard+configuration	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371999/Remove+deprecated+billing+dashboard+configuration	311371999	311371999
Renew credentials after expired Azure refresh token	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369973/Renew+credentials+after+expired+Azure+refresh+token	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369973/Renew+credentials+after+expired+Azure+refresh+token	311369973	311369973
Reports	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374725/Reports	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374725/Reports	311374725	311374725
Reports role and privilege mappings	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374881/Reports+role+and+privilege+mappings	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374881/Reports+role+and+privilege+mappings	311374881	311374881
Reports to update v604	https://abiquo.atlassian.net/wiki/spaces/doc/pages/353075250/Reports+to+update+v604	https://abiquo.atlassian.net/wiki/spaces/doc/pages/353075250/Reports+to+update+v604	353075250	353075250
Repository usage by enterprise report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374756/Repository+usage+by+enterprise+report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374756/Repository+usage+by+enterprise+report	311374756	311374756
